Liczba S,		Czasy dla poszczegolnych wywolan programu,		Srednia wszystkich wykonan
10,1.7717e-05,1.6251e-05,0.000197293,0.000162934,0.00131895,0.000342629
20,3.1722e-05,0.001869532,0.003198123,0.000209808,0.00118976,0.001299789
30,7.43e-05,0.000258976,0.000234906,0.00022237,0.000306861,0.0002194826
40,0.000199325,0.000365508,0.000389599,0.000393297,0.000392383,0.0003480224
50,0.000449855,0.000653913,0.00060538,0.000569149,0.000540761,0.0005638116
55,0.000509349,0.000751525,0.000631771,0.000796741,0.000764944,0.000690866
60,0.000889933,0.000793397,0.00087143,0.000919752,0.001066246,0.0009081516
65,0.001151216,0.001271414,0.002158833,0.001352418,0.001360543,0.0014588848
70,0.001387568,0.001885356,0.001311242,0.001473078,0.001042513,0.0014199514
75,0.001541596,0.001470898,0.002116532,0.001359819,0.001258748,0.0015495186
80,0.002188242,0.002858737,0.002721402,0.001444113,0.002611966,0.002364892
85,0.001734766,0.002395885,0.001995795,0.002221516,0.003189814,0.0023075552
90,0.003221389,0.003325839,0.005151,0.00322339,0.002748915,0.0035341066
95,0.003773165,0.004453892,0.003709295,0.002244634,0.003818088,0.0035998148
100,0.003303153,0.003636902,0.004305732,0.004083463,0.004442855,0.003954421
